Location,Area(sqft),Bed,Bath,Price(Taka)
"Block H, Bashundhara R-A, Dhaka",1600,3,3,20000
"Farmgate, Tejgaon, Dhaka",900,2,2,20000
"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",1250,3,3,18000
"Gulshan 1, Gulshan, Dhaka",2200,3,4,75000
"Baridhara, Dhaka",2200,3,3,75000
"Bashundhara R-A, Dhaka",3000,4,5,50000
"Baridhara, Dhaka",2300,3,3,75000
"PC Culture Housing, Mohammadpur, Dhaka",950,2,2,14000
"Jigatola, Hazaribag, Dhaka",1600,3,3,28000
"West Kazipara, Mirpur, Dhaka",1150,3,3,19000
"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000
"Block J, Bashundhara R-A, Dhaka",1250,3,3,19000
"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000
"Nikunja 2, Nikunja, Dhaka",750,2,2,16000
"Sector 6, Uttara, Dhaka",1850,3,3,40000
"Block D, Bashundhara R-A, Dhaka",1300,3,3,35000
"Khilgaon, Dhaka",1200,3,3,18000
"Block K, Baridhara, Dhaka",3000,4,4,160000
"Ibrahimpur, Dhaka",1050,3,3,25000
"Ibrahimpur, Dhaka",1050,3,3,25000
"Sector 5, Uttara, Dhaka",1400,3,2,30000
"PC Culture Housing, Mohammadpur, Dhaka",1150,3,3,19000
"Block D, Bashundhara R-A, Dhaka",2100,3,4,40000
"Nurer Chala, Badda, Dhaka",800,2,2,18630
"Block F, Bashundhara R-A, Dhaka",900,2,2,19000
"Sector 4, Uttara, Dhaka",1500,3,3,32000
"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000
"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000
"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000
"Rajabazar, Tejgaon, Dhaka",650,2,2,18000
"Baridhara, Dhaka",1524,3,3,100000
"Khilgaon, Dhaka",1100,3,2,19000
"Sector 9, Uttara, Dhaka",1500,3,4,35000
"Gulshan 1, Gulshan, Dhaka",3500,4,4,200000
"Sector 9, Uttara, Dhaka",850,2,2,25000
"Sector 14, Uttara, Dhaka",1400,3,4,32000
"Block D, Section 12, Mirpur, Dhaka",650,2,2,10000
"Block G, Bashundhara R-A, Dhaka",1750,3,4,30000
"Baitul Aman Housing Society, Adabor, Dhaka",1200,3,2,20000
"Kajla, Jatra Bari, Dhaka",800,3,2,15000
"Sector 11, Uttara, Dhaka",1617,3,4,30000
"Sector 7, Uttara, Dhaka",1350,3,3,27000
"Gulshan 2, Gulshan, Dhaka",1600,3,3,50000
"Sector 10, Uttara, Dhaka",1900,3,4,50000
"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900,2,3,16000
"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000
"West Malibag, Malibagh, Dhaka",950,2,2,19000
"Banani, Dhaka",2600,3,4,75000
"Sector 10, Uttara, Dhaka",1500,3,3,24000
"Block A, Bashundhara R-A, Dhaka",1860,3,4,38000
"Banani, Dhaka",2200,3,4,80000
"Gulshan 2, Gulshan, Dhaka",3000,4,4,150000
"Gulshan 2, Gulshan, Dhaka",3200,4,4,120000
"Kakrail, Dhaka",1895,3,4,40000
"Block G, Bashundhara R-A, Dhaka",1400,3,3,28000
"Block I, Bashundhara R-A, Dhaka",1500,3,4,25000
"Malibagh, Dhaka",1360,3,3,30000
"Malibagh, Dhaka",1300,3,3,30000
"Block J, Bashundhara R-A, Dhaka",1000,3,2,18000
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",1000,3,2,18000
"Block F, Bashundhara R-A, Dhaka",1500,3,4,30000
"Block F, Bashundhara R-A, Dhaka",1800,3,4,30000
