Location,Price
Adabor,17496.316758747696
Aftab Nagar,19322.539682539682
Agargaon,16352.189781021898
Badda,15947.65701802294
Banani,81178.56428571428
Banani DOHS,98318.18181818182
Banasree,18318.76887340302
Banglamotors,32500.0
Bangshal,18110.0
Baridhara,141273.62189054728
Baridhara DOHS,53619.04761904762
Bashabo,15483.834586466166
Bashundhara R-A,31336.57122405154
Cantonment,14524.242424242424
Dakshin Khan,12060.861423220973
Demra,11642.857142857143
Dhaka,19153.846153846152
Dhanmondi,34279.142857142855
Eskaton,28801.470588235294
Gulshan,125727.9375
Hatirpool,26714.285714285714
Hazaribag,15996.533795493935
Ibrahimpur,13957.692307692309
Jatra Bari,12722.222222222223
Joar Sahara,16306.557377049181
Kachukhet,13860.0
Kafrul,15160.869565217392
Kakrail,42380.95238095238
Kalabagan,28228.88888888889
Kalachandpur,16186.974789915967
Kathalbagan,26437.362637362636
Keraniganj,16000.0
Khilgaon,15741.30023640662
Khilkhet,12058.064516129032
Kotwali,15968.181818181818
Kuril,14779.527559055117
Lalbagh,18282.467532467534
Lalmatia,38125.34246575343
Maghbazar,19898.984126984127
Malibagh,19157.0796460177
Maniknagar,13350.0
Mirpur,16178.879422553544
Mohakhali,17765.30612244898
Mohakhali DOHS,89727.27272727272
Mohammadpur,16020.589700996677
Motijheel,24686.04651162791
Mugdapara,14421.052631578947
Nadda,16682.608695652172
New Market,29098.039215686276
Niketan,42638.88888888889
Nikunja,22938.775510204083
North Shahjahanpur,19176.258992805757
Paribagh,36800.0
Rampura,15086.060606060606
Sadarghat,12500.0
Shahbagh,26714.285714285714
Shahjahanpur,18464.406779661018
Shantinagar,31827.225130890052
Shegunbagicha,35685.18518518518
Shiddheswari,33672.41379310345
Shyamoli,19416.38795986622
Shyampur,11888.888888888889
Sutrapur,21385.16746411483
Taltola,14690.0
Tejgaon,25989.355742296917
Turag,15851.851851851852
Uttar Khan,12411.764705882353
Uttara,24791.48309178744
Zafrabad,13857.142857142857
