Year,GDP Nominal (Current USD),GDP Real (Inflation adj.),GDP change,GDP per capita,Pop. change,Population
2023,437415000000,323280000000,5.78,1885,1.23,171466990
2022,460132000000,305630000000,7.1,1804,1.03,169384897
2021,416272000000,285369000000,6.94,1702,0.82,167658854
2020,373979000000,266853000000,3.45,1605,0.84,166298024
2019,351232000000,257958000000,7.88,1564,0.85,164913055
2018,321363000000,239112000000,7.32,1462,0.82,163523103
2017,293732000000,222804000000,6.59,1374,0.85,162186147
2016,265225000000,209028000000,7.11,1300,0.9,160811932
2015,195147000000,195147000000,6.55,1224,0.9,159383179
2014,172887000000,183146000000,6.06,1159,0.92,157964929
2013,149999000000,172680000000,6.01,1103,0.94,156532141
2012,133311000000,162884000000,6.52,1050,0.96,155070101
2011,128607000000,152912000000,6.46,996,0.91,153591076
2010,115276000000,143628000000,5.57,944,0.88,152201981
2009,102475000000,136047000000,5.05,902,0.94,150873714
2008,91636997371,129513000000,6.01,866,1.0,149474264
2007,79611644975,122166000000,7.06,826,1.08,147989278
2006,71795736172,114112000000,6.67,779,1.17,146405973
2005,69476001239,106974000000,6.54,739,1.27,144715786
2004,65108544250,100412000000,5.24,703,1.37,142902856
2003,60158929188,95412434317,4.74,677,1.47,140970351
2002,54724081491,91094928770,3.83,656,1.56,138933658
2001,53991289844,87732050538,5.08,641,1.68,136805810
2000,53369787319,83492876906,5.29,621,1.84,134544304
1999,51270569884,79295530764,4.67,600,1.92,132108065
1998,49984559471,75757535399,5.18,584,1.91,129622332
1997,48244309133,72028595646,4.49,566,1.87,127198069
1996,46438484108,68933550573,4.52,552,1.84,124862179
1995,37939748769,65950655693,5.12,538,1.88,122600370
1994,33768660883,62737684523,3.89,521,1.87,120343179
1993,33166519418,60388495685,4.71,511,1.88,118132360
